,text_surronding
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105720,"l' incident eut lieu . Un homme , un soldat"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105723,"lieu . Un homme , un soldat letton dans un"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105761,"Ivre à coup sûr , il penchait à tel point"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105767,penchait à tel point sur sa selle qu' on s'
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105777,attendait à chaque moment à le voir tomber . En
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105786,"En apercevant un inconnu , il fit feu . La"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105805,"flanc droit . « Pour un ivrogne , il tire"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105808,"« Pour un ivrogne , il tire assez bien »"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105824,"avoir pensé si long , il s' était jeté sur"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105829,"il s' était jeté sur le cavalier ivre , tordant"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105837,", tordant le bras de l' homme à la hauteur"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105845,la hauteur du poignet pour lui arracher son arme .
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105847,du poignet pour lui arracher son arme . Le cavalier
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105850,lui arracher son arme . Le cavalier pris de boisson
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105880,pesamment dans l' eau . Egon le poussa pour l'
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105881,dans l' eau . Egon le poussa pour l' enfoncer
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105884,". Egon le poussa pour l' enfoncer davantage , la"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105894,face dans la boue . Il jeta le revolver sous
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105914,"être ? Aucune pensée ne lui vint , sauf que"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105933,été facile de mourir . Il prit par les rênes
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105957,"éloigner de la route , il lui fit passer un"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_105986,et de halliers qu' il lui semblait déjà avoir connu
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106027,avait repris le souffle . Il attacha les rênes au
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106052,"de la main , la poussa en avant . L'"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106070,"avoir hésité un instant , il suivit comme superstitieusement la"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106078,superstitieusement la même piste . Ses souvenirs se précisaient .
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106110,"paysage d' enfance , qu' il avait à la fois"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106121,"et aimé . Ici , il est chez lui ,"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106124,"Ici , il est chez lui , tout est bien"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106133,bien . On dirait qu' il l' a quitté depuis
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106188,". C' est là qu' il a amené Jeanne ,"
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106212,des siens . Sitôt qu' il a mis le pied
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106226,"peu branlante du seuil , il ne doute plus ."
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106279,n' a pas changé . Il se rappelle d' ardentes
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106292,le jeune médecin . Vit - il ou rêve -
Yourcenar-Marguerite_Quoi-L-Eternite_<Un homme-6979>_106298,il ou rêve - t - il ? Il lui
