,text_surronding
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_380,"une chaise toute droite , la baronne de Grandpré lisait"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_388,"Grandpré lisait , penchée sur son livre , disputant les"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_406,"des pas de Marsac , elle releva la tête et"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_411,elle releva la tête et posa son livre sur une
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_412,releva la tête et posa son livre sur une table
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_446,"sur ce fond obscur , la baronne était encore très"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_454,"encore très belle , malgré ses quarante - huit ans"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_469,"qui formaient un diadème à sa tête hautaine , ajoutaient"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_483,la noblesse des lignes de son visage . Ses yeux
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_486,lignes de son visage . Ses yeux foncés n' étaient
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_502,"sur le visiteur , et elle lui tendit sa belle"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_505,", et elle lui tendit sa belle main avec un"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_522,"fait de venir , dit - elle ; je me"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_594,il reporta son regard sur la baronne qui souriait encore
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_596,son regard sur la baronne qui souriait encore d' un
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_613,reposant contre le dossier de sa haute chaise . —
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_623,Cela vous étonne ? dit - elle . Je ne
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_626,? dit - elle . Je ne vous vois seulement
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_668,quelques instants de plus . Elle se redressa tout à
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_688,Vous avez quelque chose à me dire ? fit -
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_692,"à me dire ? fit - elle , avec une"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_722,"assez naturel , en voyant la baronne se troubler ,"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_733,avait reconquis son assurance . Elle le regarda pendant le
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_766,vu le baron ? fit - elle presque bas .
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_774,"bas . — Oui , madame ; je l' ai"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_793,chargé d' un message pour moi ? — Pas précisément
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_804,Ce que j' ai à vous dire est bien délicat
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_810,"dire est bien délicat , chère madame … Si vous"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_814,", chère madame … Si vous me questionnez ainsi ,"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_824,"je ne pourrai jamais … Elle se leva , déployant"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_829,"Elle se leva , déployant sa haute taille encore souple"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_843,"un mouvement très noble , elle se dirigea vers la"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_850,dirigea vers la cheminée et sonna . Le valet parut
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_882,se trouva brillamment éclairé . La baronne s' assit de
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_890,assit de façon à mettre son visage en pleine lumière
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_896,visage en pleine lumière et indiqua à Marsac un fauteuil
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_904,"un fauteuil en face d' elle . — Parlez ,"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_910,". — Parlez , fit - elle simplement . En"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_917,simplement . En toutes choses j' aime la clarté .
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_934,"un mouvement d' admiration en la voyant si brave ,"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_951,dire ? si belle . Elle le lut sur son
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_955,. Elle le lut sur son visage et sourit légèrement
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_958,"lut sur son visage et sourit légèrement , car elle"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_962,"et sourit légèrement , car elle avait conscience de son"
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_966,car elle avait conscience de son impérissable beauté et ne
Greville-Henry_Le-passe_<la baronne de Grandpré-18>_971,son impérissable beauté et ne faisait pas fi d' un
